name|owner|primaryLanguage|createdAt|updatedAt|url|popularity|cbo|dit|lcom|loc|compositeScore
JavaGuide|Snailclimb|Java|2018-05-07T13:27:00Z|2025-03-24T13:18:13Z|https://github.com/Snailclimb/JavaGuide|148860|0|0|0|0|0
hello-algo|krahets|Java|2022-11-04T11:08:34Z|2025-03-24T13:12:41Z|https://github.com/krahets/hello-algo|110946|1.87|1|4.71|7707|0.26642348761437595
java-design-patterns|iluwatar|Java|2014-08-09T16:45:18Z|2025-03-24T13:58:59Z|https://github.com/iluwatar/java-design-patterns|91049|3.36|1.2|1.87|34574|0.29218397672858687
mall|macrozheng|Java|2018-04-04T01:11:44Z|2025-03-24T12:46:33Z|https://github.com/macrozheng/mall|79618|3.93|1.24|1110.8|100903|0.2964189438252479
advanced-java|doocs|Java|2018-10-06T11:38:30Z|2025-03-24T11:35:02Z|https://github.com/doocs/advanced-java|77290|0|0|0|0|0
spring-boot|spring-projects|Java|2012-10-19T15:02:57Z|2025-03-24T12:40:14Z|https://github.com/spring-projects/spring-boot|76544|5.63|1.22|12.61|152801|0.3184058253585803
LeetCodeAnimation|MisterBooo|Java|2018-12-06T08:01:22Z|2025-03-24T07:06:37Z|https://github.com/MisterBooo/LeetCodeAnimation|75779|1|1|0|78|0.2567250324006772
elasticsearch|elastic|Java|2010-02-08T13:20:56Z|2025-03-24T13:16:57Z|https://github.com/elastic/elasticsearch|72083|||||0
interviews|kdn251|Java|2017-02-14T18:19:25Z|2025-03-24T07:46:06Z|https://github.com/kdn251/interviews|64031|1.19|1|0.29|5621|0.25884571847476584
Java|TheAlgorithms|Java|2016-07-16T10:21:02Z|2025-03-24T12:45:23Z|https://github.com/TheAlgorithms/Java|61151|1.99|1.05|6.94|51670|0.27003347714211867
spring-framework|spring-projects|Java|2010-12-08T04:04:45Z|2025-03-24T13:19:55Z|https://github.com/spring-projects/spring-framework|57618|||||0
ghidra|NationalSecurityAgency|Java|2019-03-01T03:27:48Z|2025-03-24T13:55:24Z|https://github.com/NationalSecurityAgency/ghidra|55629|||||0
Stirling-PDF|Stirling-Tools|Java|2023-01-27T18:22:42Z|2025-03-24T13:47:34Z|https://github.com/Stirling-Tools/Stirling-PDF|54770|7.83|1.32|12.93|17394|0.34752777429991627
guava|google|Java|2014-05-29T16:23:17Z|2025-03-24T13:52:09Z|https://github.com/google/guava|50606|4.04|1.8|47.81|254061|0.326948609704769
RxJava|ReactiveX|Java|2013-01-08T20:11:48Z|2025-03-24T12:26:21Z|https://github.com/ReactiveX/RxJava|48052|2.52|1.32|47.42|370369|0.28810836054014843
jadx|skylot|Java|2013-03-18T17:08:21Z|2025-03-24T12:45:25Z|https://github.com/skylot/jadx|43268|4.43|1.66|31.85|122275|0.3249824720630371
dbeaver|dbeaver|Java|2015-10-21T08:26:28Z|2025-03-24T13:46:51Z|https://github.com/dbeaver/dbeaver|42377|||||0
JeecgBoot|jeecgboot|Java|2018-11-26T10:40:00Z|2025-03-24T12:58:23Z|https://github.com/jeecgboot/JeecgBoot|41986|7.73|1.2|64.28|35728|0.3407610845474066
dubbo|apache|Java|2012-06-19T07:56:02Z|2025-03-24T09:15:42Z|https://github.com/apache/dubbo|40839|5.4|1.29|47.53|245628|0.31890202989477323
termux-app|termux|Java|2015-10-23T09:42:46Z|2025-03-24T13:36:29Z|https://github.com/termux/termux-app|39984|5.91|1.43|60.83|24560|0.3309278997259527
MPAndroidChart|PhilJay|Java|2014-04-25T14:29:47Z|2025-03-24T08:30:29Z|https://github.com/PhilJay/MPAndroidChart|37875|8.84|1.98|91.03|21111|0.3885963579764877
tutorials|eugenp|Java|2013-04-29T18:26:36Z|2025-03-24T12:40:06Z|https://github.com/eugenp/tutorials|37102|3.81|1.12|6.74|384648|0.29354709748283103
arthas|alibaba|Java|2018-08-29T17:15:57Z|2025-03-24T12:57:52Z|https://github.com/alibaba/arthas|36086|4.76|1.36|36.57|47576|0.3149833149122518
