name|owner|primaryLanguage|createdAt|updatedAt|url|popularity|cbo|dit|lcom|loc|compositeScore
cas|apereo|Java|2011-09-09T01:36:42Z|2025-03-24T07:16:50Z|https://github.com/apereo/cas|11043|9.22|1.48|7.73|220643|0.2703714328898466
SmarterStreaming|daniulive|Java|2016-03-26T14:46:02Z|2025-03-24T04:26:49Z|https://github.com/daniulive/SmarterStreaming|11030|3.85|1.05|71.55|10750|0.19070122095102238
trino|trinodb|Java|2019-01-19T06:38:14Z|2025-03-24T13:41:26Z|https://github.com/trinodb/trino|11022|||||0.1
javapoet|square|Java|2013-02-01T16:56:30Z|2025-03-24T07:57:39Z|https://github.com/square/javapoet|10856|4.52|1.15|129.29|7543|0.2026359831168698
vlayout|alibaba|Java|2017-02-27T08:11:47Z|2025-03-21T06:23:28Z|https://github.com/alibaba/vlayout|10790|5.31|1.86|72.54|14042|0.24390524768278266
platform_frameworks_base|aosp-mirror|Java|2008-10-21T18:20:37Z|2025-03-24T10:54:42Z|https://github.com/aosp-mirror/platform_frameworks_base|10708|||||0.1
jvm|doocs|Java|2018-06-23T01:12:59Z|2025-03-24T11:22:28Z|https://github.com/doocs/jvm|10674|0|1|0|5|0.14555808656036448
Paper|PaperMC|Java|2016-01-22T05:40:19Z|2025-03-24T11:39:51Z|https://github.com/PaperMC/Paper|10664|6.62|1.65|117|158489|0.2488875150430268
android-async-http|android-async-http|Java|2011-02-20T03:25:07Z|2025-03-24T11:17:29Z|https://github.com/android-async-http/android-async-http|10633|5.66|1.79|45.88|7620|0.2446721242613152
Java-WebSocket|TooTallNate|Java|2010-01-20T23:33:04Z|2025-03-22T02:26:12Z|https://github.com/TooTallNate/Java-WebSocket|10625|3.56|1.82|36.34|12801|0.22260528211647806
okhttp-OkGo|jeasonlzy|Java|2016-01-15T10:35:24Z|2025-03-24T08:08:33Z|https://github.com/jeasonlzy/okhttp-OkGo|10610|5.65|1.62|19.45|13418|0.23686268179133102
clojure|clojure|Java|2010-06-29T20:03:33Z|2025-03-24T10:15:44Z|https://github.com/clojure/clojure|10576|3.6|1.5|130.31|46790|0.20830590546700944
jjwt|jwtk|Java|2014-09-13T01:06:24Z|2025-03-24T12:00:52Z|https://github.com/jwtk/jjwt|10548|5.64|2.02|26.3|15898|0.2549620393645571
pkl|apple|Java|2024-01-19T17:28:45Z|2025-03-24T02:39:59Z|https://github.com/apple/pkl|10543|6.29|4.35|27.52|60045|0.3683687216474504
kafka-ui|provectus|Java|2019-11-26T15:55:55Z|2025-03-24T11:51:00Z|https://github.com/provectus/kafka-ui|10491|7.24|1.51|17.13|18139|0.2496108706980711
auto|google|Java|2013-05-22T21:41:56Z|2025-03-22T14:26:08Z|https://github.com/google/auto|10488|4.11|1.71|25.59|31956|0.22375487070767472
JiaoZiVideoPlayer|lipangit|Java|2016-02-06T11:04:24Z|2025-03-21T06:28:39Z|https://github.com/lipangit/JiaoZiVideoPlayer|10487|7.28|2.12|56.64|4511|0.2777775693655743
RxPermissions|tbruyelle|Java|2015-09-29T13:55:09Z|2025-03-23T15:02:35Z|https://github.com/tbruyelle/RxPermissions|10483|4.65|1.1|10.1|876|0.20202219385788145
VirtualApp|asLody|Java|2016-07-06T13:25:23Z|2025-03-24T11:41:08Z|https://github.com/asLody/VirtualApp|10459|3.94|2.59|15.61|46624|0.2619653917482804
datahub|datahub-project|Java|2015-11-18T05:47:40Z|2025-03-24T09:39:54Z|https://github.com/datahub-project/datahub|10446|11.17|1.2|16.7|139890|0.2793747273328135
OpenSearch|opensearch-project|Java|2021-01-29T22:10:00Z|2025-03-24T10:11:52Z|https://github.com/opensearch-project/OpenSearch|10389|7.41|1.73|38.04|1200892|0.2614947661897486
MVPArms|JessYanCoding|Java|2016-08-06T08:49:56Z|2025-03-19T07:18:24Z|https://github.com/JessYanCoding/MVPArms|10283|6.64|1.28|32.1|5986|0.23240566479449254
Activiti|Activiti|Java|2012-09-13T11:34:43Z|2025-03-24T13:35:32Z|https://github.com/Activiti/Activiti|10272|5.78|1.55|90.11|153441|0.23499939336474407
ViewPagerIndicator|JakeWharton|Java|2011-08-04T17:13:44Z|2025-03-23T15:07:22Z|https://github.com/JakeWharton/ViewPagerIndicator|10120|6.02|2.71|29.27|2947|0.290635265583553
resilience4j|resilience4j|Java|2015-06-03T09:21:01Z|2025-03-24T13:45:18Z|https://github.com/resilience4j/resilience4j|10054|7.02|1.47|18.4|60121|0.24532955584531385
lawnchair|LawnchairLauncher|Java|2017-03-03T13:12:58Z|2025-03-24T13:58:30Z|https://github.com/LawnchairLauncher/lawnchair|10005|10.32|1.58|96.94|248468|0.2870518981266638
xpipe|xpipe-io|Java|2023-01-27T02:25:38Z|2025-03-24T13:41:12Z|https://github.com/xpipe-io/xpipe|10002|6.44|1.51|17.46|51968|0.2406767259228238
Aegis|beemdevelopment|Java|2016-08-15T19:10:31Z|2025-03-24T07:43:47Z|https://github.com/beemdevelopment/Aegis|9982|7.45|1.71|22.59|23694|0.26105781620520224
zfile|zfile-dev|Java|2019-08-19T13:57:56Z|2025-03-24T08:50:30Z|https://github.com/zfile-dev/zfile|9934|6.96|1.57|5.09|6839|0.24923906790514994
glide-transformations|wasabeef|Java|2015-01-09T10:33:29Z|2025-03-24T08:41:15Z|https://github.com/wasabeef/glide-transformations|9920|5.56|2.15|2.78|991|0.26003315065470367
easypermissions|googlesamples|Java|2015-12-22T18:05:53Z|2025-03-24T00:52:48Z|https://github.com/googlesamples/easypermissions|9890|8.94|1.48|12.21|1705|0.2672367041108401
aws-doc-sdk-examples|awsdocs|Java|2016-08-18T19:06:57Z|2025-03-24T11:51:14Z|https://github.com/awsdocs/aws-doc-sdk-examples|9890|6.94|1.03|6.14|76529|0.2244124910089378
